epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.24615873231756197,0.9258689633958782,0.03163541897755259,0.9927884615384616,0.0001
2,0.04948733346309359,0.9861581051984005,0.014134956303328531,0.9951923076923077,0.0001
3,0.030347146148620635,0.9923100584435558,0.01143493805711142,0.9975961538461539,0.0001
4,0.024814803323930722,0.9938480467548446,0.0043781635525000145,0.9975961538461539,0.0001
5,0.020351614969573655,0.9966164257151645,0.007331500351655178,0.9975961538461539,0.0001
6,0.011666067327123237,0.996001230390649,0.01609635165306582,0.9951923076923077,0.0001
7,0.0075495738285715685,0.9972316210396801,0.009240793938252305,0.9975961538461539,5e-05
8,0.006228844269272269,0.9984620116887112,0.002599630850358363,1.0,5e-05
9,0.0015217043676335508,1.0,0.011714007904576927,0.9951923076923077,5e-05
10,0.0011595746497779689,1.0,0.015433921797344178,0.9951923076923077,5e-05
11,0.003834036809067278,0.9990772070132267,0.009362660150708498,0.9951923076923077,5e-05
12,0.0026921803516485095,0.9990772070132267,0.006106843814953104,0.9951923076923077,2.5e-05
13,0.002842140723380615,0.9996924023377423,0.003062578375487709,1.0,2.5e-05
